ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,12048.15,2026-05-11,83625.85,82648.28,82648.28,77201.1,80076.68,83643.31
SHYAMTEL,23.59,2026-05-11,-0.67,20.6,148.58,130.15,84.73,103.54
CALSOFT,25.25,2026-05-11,46.63,109.54,116.55,72.47,46.8,129.75
OMAXAUTO,229.81,2026-05-11,48.86,97.29,116.3,94.88,142.18,188.18
INDOTECH,2730.0,2026-05-11,0.04,15.69,105.59,93.14,70.77,23.03
SIGMAADV,338.95,2026-05-11,14.7,36.4,88.9,73.96,,
RITEZONE,27.3,2026-05-08,9.2,22.42,84.46,34.81,-0.18,11.66
ROLLT,2.31,2026-05-11,14.93,38.32,83.33,84.8,97.44,67.39
IDEAFORGE,795.2,2026-05-11,8.78,44.61,82.11,87.75,71.12,71.56
PRIZOR,708.4,2026-05-08,1.65,13.73,77.99,154.36,119.32,399.05
HFCL,148.46,2026-05-11,17.79,39.15,75.9,107.2,89.6,100.53
IBULLSLTD,20.85,2026-05-11,-3.92,20.8,71.6,100.87,-0.81,
STLTECH,394.7,2026-05-11,27.59,41.08,70.7,174.67,247.63,542.94
JAINAM,295.0,2026-05-08,20.9,39.55,69.54,33.67,5.73,22.92
BHAGYANGR,305.35,2026-05-11,8.45,22.5,67.6,84.79,118.73,352.44
PARACABLES,60.07,2026-05-11,49.28,49.17,63.99,53.32,48.1,27.86
VISASTEEL,53.07,2026-05-11,24.81,26.93,63.64,41.07,-21.18,63.09
LLOYDS,93.15,2026-05-08,0.0,-3.92,62.0,57.88,19.42,3.39
SVPGLOB,4.47,2026-05-11,20.81,32.25,61.37,35.05,24.17,59.64
KSHITIJPOL,4.36,2026-05-11,26.74,49.32,59.71,42.02,54.61,39.3
JKIPL,87.44,2026-05-11,-2.86,-4.66,59.39,22.17,-25.18,
CADSYS,71.0,2026-05-08,9.91,12.52,58.66,45.79,4.41,-27.33
MTARTECH,6520.0,2026-05-11,6.41,22.95,56.21,83.57,151.57,354.83
VINDHYATEL,1814.6,2026-05-11,23.44,36.55,55.3,60.66,35.64,41.4
GLFL,7.0,2026-05-11,-1.13,-3.98,55.21,27.04,-12.72,40.85
NEUEON,26.1,2026-05-11,27.5,33.85,54.8,166.33,400.0,400.0
SUNFLAG,383.5,2026-05-11,19.41,29.54,53.76,49.99,43.88,70.22
ACCORD,43.7,2026-05-08,-4.9,-4.9,52.53,56.07,120.15,116.34
OWAIS,188.0,2026-05-08,4.33,-6.07,52.41,-21.68,-59.24,-67.93
SANCO,3.23,2026-05-11,13.33,24.23,52.36,28.17,82.49,30.77
SILKFLEX,200.25,2026-05-08,-7.18,2.06,51.93,88.56,136.98,168.61
PLAZACABLE,57.53,2026-05-11,40.11,39.7,51.35,41.18,27.42,7.59
BBOX,788.1,2026-05-11,19.17,35.96,50.47,35.38,42.95,104.28
VIDYAWIRES,94.28,2026-05-11,3.18,7.75,49.72,94.79,,
ZIMLAB,109.29,2026-05-11,16.07,26.89,49.1,42.83,43.76,32.09
IRMENERGY,301.15,2026-05-11,-13.09,-9.13,48.8,17.83,-0.05,15.53
ANLON,563.0,2026-05-08,-2.96,31.51,48.06,49.12,40.87,62.04
BEACON,111.35,2026-05-08,10.8,12.59,47.39,24.41,54.76,52.53
BHARATWIRE,252.83,2026-05-11,7.83,10.9,47.34,43.76,32.82,50.77
E2E,3605.3,2026-05-11,27.34,18.28,47.15,36.94,23.27,34.95
VISHWAS,56.3,2026-05-08,37.32,43.44,47.0,31.7,18.53,-7.7
GLOBALPET,136.0,2026-05-08,15.5,20.35,46.71,15.25,-11.97,16.24
MIRCELECTR,45.68,2026-05-11,36.24,38.17,46.08,35.99,75.96,248.17
EMAMIREAL,103.16,2026-05-11,8.73,-1.24,45.42,34.67,10.27,-2.19
UCL,135.15,2026-05-08,6.08,14.78,45.09,157.18,227.64,155.0
