ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11905.35,2026-05-18,84096.25,82633.49,80450.4,77514.9,78358.88,79253.13
SHYAMTEL,21.34,2026-05-18,-9.54,-10.15,106.98,108.2,81.62,68.96
CALSOFT,21.62,2026-05-18,-14.38,25.55,75.63,56.21,32.23,96.72
BBOX,935.2,2026-05-18,18.67,41.42,72.79,76.6,76.85,112.63
OMAXAUTO,199.43,2026-05-18,-13.22,29.18,72.13,72.81,114.25,135.78
IDEAFORGE,817.7,2026-05-18,2.83,11.86,71.48,94.78,68.13,45.89
JAINAM,297.9,2026-05-15,4.53,22.09,71.21,41.18,6.39,29.18
SANCO,3.63,2026-05-18,12.38,27.37,65.0,63.51,72.86,53.16
SILKFLEX,216.35,2026-05-15,3.02,0.28,62.67,88.38,172.65,127.62
GRCL,610.95,2026-05-15,14.17,37.51,60.82,58.07,53.12,22.19
STLTECH,421.9,2026-05-18,6.89,36.38,60.37,166.15,267.93,457.92
RITEZONE,24.65,2026-05-15,-9.71,-1.4,59.03,26.09,-0.8,4.89
SIGMAADV,306.05,2026-05-18,-9.71,3.57,56.07,68.27,,
ROLLT,2.08,2026-05-18,-9.96,3.48,55.22,71.9,73.33,34.19
BALAMINES,1763.0,2026-05-18,24.65,21.13,54.74,59.72,47.57,26.4
WHEELS,1590.6,2026-05-18,19.88,26.65,49.07,69.94,79.22,120.09
OLIL,465.0,2026-05-15,1.31,8.96,47.76,64.84,41.47,171.93
VERANDA,232.45,2026-05-18,8.53,16.89,46.84,19.82,6.92,11.09
MTARTECH,7110.5,2026-05-18,9.06,16.04,46.37,89.87,175.18,334.52
HFCL,139.69,2026-05-18,-5.91,10.83,46.29,89.31,87.96,58.19
PRIZOR,683.65,2026-05-15,1.58,-1.9,45.85,130.19,121.07,310.23
SHIGAN,81.0,2026-05-15,7.28,11.42,45.29,10.2,38.94,6.87
UCL,145.5,2026-05-15,7.7,14.21,44.42,108.15,198.46,164.55
NEUEON,25.54,2026-05-18,-2.15,24.77,44.29,148.2,389.27,389.27
PRITIKA,73.1,2026-05-15,0.34,5.18,43.19,12.81,-14.95,1.53
SHAILY,2691.1,2026-05-18,-0.33,4.35,42.76,28.32,-1.4,61.12
BHAGYANGR,301.55,2026-05-18,-1.24,7.1,42.27,94.99,89.4,299.83
AKIKO,285.05,2026-05-15,-4.67,17.02,40.7,31.42,-1.98,239.14
RANEHOLDIN,1509.1,2026-05-18,32.04,32.41,39.6,18.16,1.3,6.91
CADSYS,69.5,2026-05-15,-2.11,7.59,38.17,41.26,31.88,-22.78
ONELIFECAP,20.96,2026-05-18,11.61,16.12,37.89,24.17,65.04,92.47
VISHWAS,54.95,2026-05-15,-0.09,34.02,37.38,33.21,15.68,-12.64
ANLON,554.0,2026-05-15,-4.48,-4.52,37.13,39.9,39.55,44.69
WELINV,1816.3,2026-05-18,7.35,24.28,36.62,39.59,49.9,113.96
EMAMIREAL,93.3,2026-05-18,-9.56,-1.67,36.6,39.09,1.34,-21.25
SASKEN,1836.0,2026-05-18,12.32,36.55,36.43,48.53,30.69,24.84
SCPL,434.6,2026-05-18,-3.03,8.07,36.03,28.77,87.85,36.65
REMUS,865.25,2026-05-15,14.69,20.71,35.78,27.71,16.69,-60.19
INSPIRISYS,114.09,2026-05-18,23.89,34.03,35.63,22.47,14.64,7.38
CEMPRO,879.05,2026-05-18,-2.97,-8.09,35.6,45.17,9.66,
ARISTO,115.9,2026-05-15,-5.0,-3.42,35.24,27.71,-10.85,-15.66
GRWRHITECH,5382.9,2026-05-18,3.77,26.01,35.06,25.15,34.56,34.83
PARACABLES,54.53,2026-05-18,-9.22,35.51,34.98,50.22,35.24,-4.77
EMBDL,67.25,2026-05-18,-7.64,38.4,33.94,6.21,-19.62,-35.29
MWL,365.7,2026-05-18,4.67,1.51,33.83,35.24,57.14,128.84
IDEA,12.86,2026-05-18,5.58,22.24,33.82,11.25,19.74,74.49
INDOTECH,2469.9,2026-05-18,-9.53,-9.49,33.81,83.73,39.2,-2.31
SOFTTECH,405.25,2026-05-18,-9.37,0.75,33.52,31.4,29.04,11.18
TDPOWERSYS,1328.0,2026-05-18,12.67,14.24,33.21,52.5,73.36,170.99
PATTECH,116.85,2026-05-15,0.0,10.24,33.16,9.82,-5.96,51.46
SHERA,173.45,2026-05-15,10.94,10.16,32.4,45.09,26.15,11.15
GVPIL,661.3,2026-05-18,3.43,4.22,32.29,33.1,77.6,
CELLECOR,41.0,2026-05-15,-2.96,8.9,32.26,52.13,41.87,-7.03
MADHAVBAUG,251.3,2026-05-15,-2.97,-0.28,32.26,16.34,-8.62,83.43
SHADOWFAX,185.61,2026-05-18,12.68,7.86,32.16,51.47,,
RRKABEL,1947.9,2026-05-18,1.35,9.73,32.01,37.28,44.48,48.84
VIDYAWIRES,91.78,2026-05-18,-2.65,0.45,31.81,94.41,,
SEYAIND,15.35,2026-05-18,-1.67,8.4,31.65,-6.06,-29.1,-10.55
FCL,30.52,2026-05-18,7.73,32.52,31.5,20.06,23.41,15.78
SAKAR,779.95,2026-05-18,47.27,19.53,31.37,63.89,93.51,147.72
KSHITIJPOL,3.74,2026-05-18,-14.22,8.72,31.23,55.83,33.57,9.36
DSSL,1382.8,2026-05-18,-3.15,23.96,30.8,41.3,40.59,22.03
ANSALAPI,4.49,2026-05-18,9.25,16.62,30.52,27.92,23.01,2.51
SUNFLAG,355.45,2026-05-18,-7.31,10.68,30.22,42.13,40.36,37.33
VILINBIO,49.4,2026-05-15,-4.73,21.23,30.17,52.7,120.04,77.06
RITCO,265.56,2026-05-18,6.82,18.64,29.74,16.08,-4.61,0.17
VISASTEEL,45.64,2026-05-18,-14.0,7.34,29.22,19.57,-18.67,38.89
SEMAC,371.15,2026-05-18,9.45,30.39,29.09,47.84,12.45,6.04
AMBEY,28.5,2026-05-15,-5.47,-9.52,28.96,-3.39,-34.1,-26.45
SUVEN,252.57,2026-05-18,15.95,18.9,28.81,65.57,41.37,33.83
DEEDEV,476.35,2026-05-18,-3.32,8.79,28.74,124.84,97.78,99.58
MARC,89.0,2026-05-15,0.85,-0.17,28.61,38.74,,
DIACABS,191.82,2026-05-18,9.77,15.54,28.21,38.35,29.66,101.45
VMARCIND,1089.85,2026-05-15,-3.86,12.45,27.79,79.31,43.0,243.75
MIRCELECTR,40.32,2026-05-18,-11.73,20.25,27.64,31.29,55.68,198.67
GKSL,143.21,2026-05-18,0.68,13.93,27.55,26.25,,
SKP,193.15,2026-05-15,27.03,23.42,27.53,21.75,-12.2,-16.98
VIJAYA,1302.8,2026-05-18,-2.96,12.91,27.41,28.05,27.1,43.48
PARTYCRUS,109.15,2026-05-15,12.53,19.55,26.92,33.11,49.83,16.12
IRMENERGY,280.3,2026-05-18,-6.92,-19.11,26.83,14.3,-10.73,0.47
KOTYARK,457.15,2026-05-18,11.4,11.43,26.67,92.57,95.99,17.35
ANTELOPUS,779.6,2026-05-18,13.79,8.34,26.6,32.28,51.39,
SENORES,1129.5,2026-05-18,17.93,26.31,26.36,37.39,41.66,127.68
RAYMONDREL,577.05,2026-05-18,-2.13,23.33,26.23,25.81,11.4,
NINSYS,583.5,2026-05-18,5.2,11.81,26.11,72.56,42.47,31.14
ACCORD,45.85,2026-05-15,4.92,-0.22,25.79,69.81,91.44,116.27
FMNL,11.39,2026-05-18,16.82,16.82,25.72,40.62,3.55,-29.99
APCOTEXIND,483.2,2026-05-18,-2.3,21.35,25.49,28.07,21.95,44.52
GLFL,6.85,2026-05-18,-2.14,-3.25,25.46,-2.14,-9.99,52.56
SAHYADRI,307.0,2026-05-18,-7.24,13.7,25.43,16.58,19.11,8.07
ORCHPHARMA,713.05,2026-05-18,-0.97,13.33,25.23,7.35,-15.33,-7.04
KILITCH,169.06,2026-05-18,7.07,9.96,25.16,2.73,-4.88,-20.38
