ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
CONFIPET,54.84,2026-04-09,4.68,56.02,90.35,51.16,18.06,8.12
LIKHITHA,237.43,2026-04-09,37.82,74.45,65.09,26.95,-0.67,-14.58
RPSGVENT,966.7,2026-04-09,-5.34,60.92,59.13,30.92,14.43,14.44
OLAELEC,36.32,2026-04-09,28.16,56.22,56.08,-16.66,-30.98,-32.83
WEBELSOLAR,78.21,2026-04-09,2.42,2.92,50.72,-7.21,-33.61,-34.34
GANECOS,1052.15,2026-04-09,-5.22,34.73,49.17,27.43,-14.31,-33.38
BODALCHEM,64.84,2026-04-09,16.41,18.06,47.26,23.88,4.82,1.25
ARROWGREEN,536.1,2026-04-09,1.45,38.92,44.91,4.31,-6.9,-0.71
SOLEX,1282.4,2026-04-10,25.19,29.82,44.05,5.47,-22.59,84.36
GUJALKALI,618.1,2026-04-09,2.43,-1.25,43.84,22.89,10.06,12.14
NINSYS,417.05,2026-04-09,8.54,21.89,42.1,4.84,-4.67,-11.01
LUXIND,1232.3,2026-04-09,35.19,30.38,41.87,16.78,-4.78,-12.14
NACLIND,167.12,2026-04-09,20.97,31.21,41.86,-7.19,-15.06,35.72
AURIGROW,0.31,2026-04-10,10.71,14.81,40.91,-58.11,,
ATLANTAELE,1277.6,2026-04-09,6.01,5.6,39.33,43.94,42.49,
ELECTCAST,84.09,2026-04-09,5.15,12.24,37.63,13.15,-10.86,-14.44
SUMIT,48.13,2026-04-09,3.64,9.61,37.59,-25.85,-51.73,-48.68
WEWIN,56.07,2026-04-09,38.1,30.27,37.56,19.94,13.85,42.49
LPDC,7.99,2026-04-09,38.47,38.72,36.82,13.82,-3.27,6.11
HINDCON,24.78,2026-04-09,36.98,42.25,33.58,-9.36,-23.99,-22.05
SAATVIKGL,461.6,2026-04-10,9.15,21.73,33.43,18.33,2.81,
KSHINTL,499.15,2026-04-09,11.33,11.01,33.23,32.14,,
PRITI,47.14,2026-04-09,31.57,30.15,33.16,-18.7,-34.01,-43.71
PREMIERENE,956.45,2026-04-09,4.26,7.54,32.54,25.5,-6.27,7.57
KESORAMIND,10.93,2026-04-09,27.54,27.24,32.16,1.2,99.09,166.59
BLUSPRING,64.61,2026-04-10,3.82,20.03,32.05,-1.42,-19.32,
BETA,1417.0,2026-04-09,2.15,32.08,31.95,-14.85,-20.58,-23.44
MITCON,70.19,2026-04-09,17.04,31.71,31.84,5.33,0.1,-3.85
CENTRUM,28.39,2026-04-09,2.75,1.87,31.74,-3.34,-18.16,14.38
WAAREEINDO,423.85,2026-04-10,5.46,4.45,31.71,-9.91,,
KAMOPAINTS,5.46,2026-04-09,28.17,34.81,31.57,-18.14,-36.07,-42.28
MIRCELECTR,31.3,2026-04-09,11.23,32.35,31.13,-10.26,23.57,154.68
ZYDUSWELL,489.5,2026-04-09,10.48,11.11,31.06,2.32,8.22,43.82
SUVEN,177.98,2026-04-09,12.67,37.82,30.98,4.36,-15.0,41.47
ACCURACY,5.37,2026-04-09,40.21,36.29,30.98,-4.79,-22.84,-34.19
KANANIIND,1.75,2026-04-09,38.89,36.72,30.6,2.34,-9.79,-22.91
KOTYARK,366.5,2026-04-09,-7.53,-4.13,30.5,56.16,20.34,12.74
SPORTKING,138.99,2026-04-09,8.19,19.18,30.48,60.4,32.07,71.74
PRIMO,22.27,2026-04-09,3.97,30.92,30.39,-6.39,-6.31,
FACT,860.95,2026-04-09,11.27,8.4,30.03,-1.99,-4.23,32.16
LLOYDSENT,61.11,2026-04-09,34.28,42.68,29.99,-9.99,-11.51,32.53
ANGELONE,281.8,2026-04-09,17.0,23.18,29.64,18.76,26.41,22.69
RTNINDIA,32.17,2026-04-09,11.74,17.11,29.61,-21.65,-39.79,-24.78
VENUSREM,976.95,2026-04-09,8.96,12.78,29.22,28.04,110.14,208.92
KOPRAN,156.02,2026-04-09,30.04,35.14,28.9,1.04,-12.51,-17.13
STALLION,131.23,2026-04-09,17.42,20.05,28.87,-43.66,-51.58,77.99
SECURKLOUD,25.81,2026-04-09,33.18,21.0,28.73,3.08,11.39,36.34
PVP,33.33,2026-04-09,35.93,25.92,28.54,-6.64,11.29,49.8
ANUP,1863.3,2026-04-09,6.55,12.92,28.54,-17.09,-25.24,-44.69
LLOYDSME,1487.0,2026-04-09,7.11,18.13,27.94,12.78,13.37,11.9
COHANCE,377.9,2026-04-10,25.26,23.44,27.84,-24.77,-56.55,
MPSLTD,1746.2,2026-04-09,5.24,15.76,27.77,-11.15,-20.17,-38.37
VALIANTORG,268.03,2026-04-09,15.36,13.56,27.58,-1.37,-20.69,-9.34
MODINATUR,347.2,2026-04-09,14.89,17.38,27.53,-1.05,,
AEROFLEX,274.46,2026-04-09,8.57,8.87,27.25,39.95,55.84,57.2
BAFNAPH,136.13,2026-04-09,22.29,19.76,27.24,-8.26,-19.57,81.97
VIPCLOTHNG,23.3,2026-04-09,15.52,41.99,27.04,-24.98,-31.49,-22.0
OLECTRA,1131.3,2026-04-09,10.9,5.69,26.95,-5.39,-27.61,-4.43
DEEPINDS,441.2,2026-04-09,0.54,9.25,26.93,4.66,-11.77,-11.99
RACE,137.22,2026-04-09,14.15,38.65,26.67,-1.19,-38.73,-45.91
STLTECH,220.56,2026-04-09,24.03,22.52,26.58,122.43,82.67,162.17
BLSE,162.61,2026-04-09,1.3,0.51,26.47,-16.12,-12.17,6.88
BALKRISHNA,16.71,2026-04-09,19.36,7.12,26.21,-9.09,-32.29,-3.13
SEMAC,271.98,2026-04-09,17.84,6.37,26.14,-9.55,-44.27,-9.45
VITAL,57.51,2026-04-09,21.48,54.8,26.12,-0.5,-2.53,2.7
BALAJEE,34.38,2026-04-10,23.67,38.91,25.98,-14.11,-26.7,-21.85
ROSSTECH,916.4,2026-04-10,22.27,30.32,25.91,49.32,26.52,224.13
PROZONER,54.36,2026-04-09,17.61,27.07,25.86,-8.3,-17.69,82.97
GALLANTT,665.5,2026-04-09,19.72,24.1,25.79,18.78,-0.69,63.4
SHILPAMED,419.0,2026-04-09,7.74,23.96,25.77,31.64,11.01,29.46
REGAAL,78.72,2026-04-09,16.64,18.48,25.75,8.19,-11.9,
JPPOWER,16.81,2026-04-09,11.99,12.74,25.73,-3.78,-6.92,14.74
NOCIL,165.05,2026-04-09,-0.05,1.29,25.5,11.49,-8.56,-7.54
SANGHVIMOV,296.2,2026-04-09,3.32,19.15,25.27,-13.97,-26.95,18.73
CEWATER,312.25,2026-04-09,10.26,11.24,25.13,-32.41,-38.49,-36.26
SAMBHV,111.99,2026-04-09,11.02,18.67,25.1,19.55,-4.42,
GROWW,186.66,2026-04-09,13.25,15.71,25.09,20.19,,
NITCO,82.35,2026-04-09,-3.59,-0.07,24.94,-16.99,-28.63,-31.39
LORDSCHLO,154.46,2026-04-10,19.26,31.76,24.75,-5.73,-15.11,9.64
EIEL,171.01,2026-04-09,1.72,17.69,24.7,-14.86,-31.29,-23.51
ACMESOLAR,273.1,2026-04-09,-0.56,9.63,24.44,18.45,-5.19,42.43
JINDALSAW,202.31,2026-04-09,5.49,11.18,24.44,17.97,-0.77,-24.75
SAKUMA,2.04,2026-04-09,28.3,50.0,24.39,-5.12,-17.41,-16.05
BLISSGVS,254.07,2026-04-09,8.49,23.01,24.39,39.53,65.78,112.69
WAAREEENER,3232.3,2026-04-09,5.26,4.72,24.37,22.7,-6.03,41.83
GOKULAGRO,199.88,2026-04-09,3.36,7.29,24.34,16.21,1.36,63.03
STERTOOLS,242.44,2026-04-09,20.42,42.7,24.26,-9.32,-22.43,-23.38
IBULLSLTD,12.15,2026-04-10,12.4,23.23,24.23,-18.29,,
CYBERTECH,126.81,2026-04-09,17.24,24.79,23.97,-12.89,-43.84,-9.16
ADANIPOWER,172.33,2026-04-09,7.73,14.8,23.88,16.79,13.38,67.78
KNAGRI,220.47,2026-04-09,17.89,29.48,23.75,11.18,9.06,2.62
EPIGRAL,1098.3,2026-04-10,21.81,24.16,23.64,-5.86,-36.66,-43.47
NPST,1261.1,2026-04-09,11.64,15.19,23.59,-9.45,-37.27,-46.62
OSWALPUMPS,371.7,2026-04-10,13.12,18.47,23.53,-26.43,-50.65,
GINNIFILA,40.8,2026-04-09,11.96,12.93,23.45,-5.34,-9.33,104.0
VMART,628.75,2026-04-09,15.39,26.33,23.1,-9.59,-23.87,-23.56
SOMANYCERA,416.25,2026-04-09,7.23,11.1,22.97,2.61,-10.15,-1.49
BALAXI,22.96,2026-04-09,8.71,27.13,22.91,-16.63,-48.85,-65.73
UTTAMSUGAR,242.0,2026-04-09,-2.29,7.69,22.9,-1.41,-7.1,-9.77
VIDYAWIRES,61.68,2026-04-09,17.87,15.44,22.7,23.91,,
CEINSYS,1054.45,2026-04-09,7.24,17.19,22.63,,,
KRISHANA,584.35,2026-04-09,8.37,21.93,22.45,11.61,25.99,149.23
BROOKS,71.57,2026-04-09,34.08,52.18,22.43,-6.92,-47.12,-35.38
JTLIND,64.38,2026-04-10,29.9,29.8,22.42,10.24,-7.95,-16.47
AWFIS,310.81,2026-04-09,20.32,27.98,22.37,-35.92,-46.91,-53.72
MAWANASUG,94.97,2026-04-09,2.28,18.7,22.35,9.1,6.43,4.95
ADANIGREEN,1044.55,2026-04-09,22.03,24.42,22.29,2.47,-1.4,10.76
UFBL,281.15,2026-04-10,25.42,21.32,22.26,29.48,20.52,
KECL,98.48,2026-04-09,13.27,13.05,22.23,-3.37,-18.42,-26.19
PWL,101.8,2026-04-10,9.43,18.3,22.19,-21.1,,
DUCON,3.62,2026-04-09,19.87,30.69,21.89,1.4,-33.09,-29.98
MGEL,11.92,2026-04-09,6.71,-10.51,21.88,-15.64,-33.74,-19.52
MEGASTAR,273.3,2026-04-09,3.44,5.97,21.87,17.79,22.03,38.9
QPOWER,969.85,2026-04-09,11.27,15.43,21.86,19.53,-7.65,209.03
BANKA,65.82,2026-04-09,33.1,41.4,21.78,-1.07,-24.62,-8.52
WELCORP,949.65,2026-04-09,12.14,18.38,21.76,20.46,11.39,12.41
OSWALAGRO,51.86,2026-04-09,26.18,28.59,21.71,-11.18,-31.54,-37.49
IGPL,400.75,2026-04-09,14.22,9.26,21.66,1.78,-6.0,-6.41
DRCSYSTEMS,16.09,2026-04-09,7.63,22.82,21.62,-8.74,-22.79,-42.0
ARSSBL,558.8,2026-04-09,23.75,23.52,21.6,-13.47,23.98,
NAHARSPING,230.15,2026-04-09,1.2,13.15,21.54,20.37,10.93,7.95
UMAEXPORTS,28.09,2026-04-09,34.79,33.51,21.18,-26.25,-38.52,-67.09
HITECHCORP,143.47,2026-04-09,7.67,5.84,21.02,-15.18,-28.4,-21.67
BHANDARI,3.07,2026-04-09,5.86,27.39,20.87,-26.2,-34.96,-35.01
UTLSOLAR,221.44,2026-04-10,2.01,11.35,20.73,0.85,,
STOVEKRAFT,563.7,2026-04-09,18.34,19.11,20.71,-4.35,-16.68,-22.27
SPARC,146.17,2026-04-09,17.82,30.64,20.69,7.55,10.81,0.39
VENUSPIPES,1196.0,2026-04-09,21.44,25.93,20.63,3.59,-8.15,-5.28
ZODIAC,279.9,2026-04-10,15.94,15.94,20.62,-5.85,-28.02,-30.93
ATHERENERG,820.25,2026-04-09,7.62,8.36,20.32,18.12,32.12,
SCODATUBES,140.55,2026-04-09,0.46,12.25,20.24,-12.35,-16.86,
AXISCADES,1712.8,2026-04-09,5.16,20.97,20.07,15.18,1.39,94.15
GANESHCP,195.58,2026-04-09,8.47,18.24,20.05,-12.11,-31.99,
MIDWESTLTD,1301.3,2026-04-09,6.87,5.24,20.01,-26.61,,
SHILCTECH,4408.6,2026-04-09,10.92,17.0,19.96,17.5,,
KRONOX,131.89,2026-04-09,10.91,27.65,19.92,-5.52,-17.25,-9.13
IFBAGRO,873.1,2026-04-09,15.31,16.95,19.79,-41.19,-1.48,77.06
DBOL,118.52,2026-04-09,4.26,22.53,19.67,51.19,45.28,77.78
ARMANFIN,1602.0,2026-04-09,8.49,7.55,19.62,2.15,5.93,16.22
VIKASLIFE,1.6,2026-04-09,25.0,29.03,19.4,-14.44,-26.61,-44.25
RAMAPHO,131.76,2026-04-09,15.9,12.03,19.36,-21.84,-12.45,35.63
KPIGREEN,404.15,2026-04-09,4.38,7.63,19.15,-14.96,-8.68,-3.77
EPL,229.64,2026-04-09,7.44,19.45,19.01,7.48,6.92,15.95
AKSHAR,0.44,2026-04-09,0.0,12.82,18.92,-13.73,-26.67,-18.52
SGMART,531.2,2026-04-09,5.23,15.03,18.92,40.53,45.53,
AKSHOPTFBR,5.23,2026-04-09,13.7,17.53,18.86,-16.59,-28.75,-39.61
BHAGYANGR,184.97,2026-04-09,21.53,26.32,18.86,4.06,90.01,148.65
SOFTTECH,302.95,2026-04-09,20.06,17.93,18.85,-6.97,-18.82,-15.14
DGCONTENT,28.9,2026-04-09,20.27,22.35,18.83,-14.17,-22.73,-26.41
SKMEGGPROD,173.52,2026-04-09,9.32,8.45,18.82,-7.43,9.37,96.77
FCSSOFT,1.77,2026-04-09,30.15,30.15,18.79,-3.8,-19.55,-31.66
JBMA,604.95,2026-04-09,7.7,5.72,18.79,-5.55,-10.7,-1.0
MADHUCON,5.06,2026-04-09,23.11,31.09,18.78,-15.67,-36.91,-14.67
HILTON,20.31,2026-04-09,-6.02,41.24,18.7,-39.61,-55.58,-73.27
HECPROJECT,133.34,2026-04-09,36.35,28.78,18.6,12.5,-10.8,48.22
ITI,297.39,2026-04-09,16.7,16.15,18.58,-3.9,-6.32,17.68
SEPC,7.55,2026-04-09,34.82,47.75,18.52,-22.72,-36.39,-49.16
KTKBANK,243.69,2026-04-09,7.13,11.72,18.41,20.95,39.53,39.0
KSCL,908.7,2026-04-09,8.77,12.3,18.41,-5.12,-13.85,-29.07
URBANCO,127.14,2026-04-09,4.38,11.33,18.37,-5.25,-24.1,
3IINFOLTD,15.37,2026-04-09,3.64,12.68,18.32,-7.74,-30.58,-29.59
STEELCAS,272.98,2026-04-09,16.84,24.6,18.26,32.09,22.54,40.67
