ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
IBULLSLTD,17.21,2026-04-22,1.29,26.08,73.14,49.13,,
INDOTECH,2245.8,2026-04-22,17.1,56.96,73.01,72.09,29.92,-11.15
NINSYS,500.45,2026-04-22,7.39,24.21,72.45,44.06,13.65,9.59
SHYAMTEL,15.4,2026-04-22,43.93,64.35,71.68,52.78,20.31,15.36
LUXIND,1588.25,2026-04-22,6.59,18.06,68.77,75.15,22.6,10.35
STLNETWORK,31.07,2026-04-22,2.95,42.39,66.6,61.24,11.72,
SADHNANIQ,2.38,2026-04-22,4.39,30.77,63.01,-61.67,-75.1,-89.83
DANGEE,4.51,2026-04-22,23.9,42.27,62.82,42.72,4.4,-7.77
HILTON,25.0,2026-04-22,-0.48,3.73,59.85,-15.45,-46.82,-63.19
MANAKSTEEL,83.46,2026-04-22,24.83,51.36,59.49,38.0,43.7,38.68
SUVEN,212.62,2026-04-22,1.16,11.67,58.64,54.22,7.66,64.29
NAGREEKCAP,36.27,2026-04-22,17.72,51.69,57.97,40.09,14.67,37.33
STYLEBAAZA,381.7,2026-04-22,12.6,30.12,57.18,16.43,14.26,13.51
GALLANTT,870.55,2026-04-22,0.17,28.24,56.59,60.22,46.16,85.27
OLAELEC,38.43,2026-04-22,-2.01,0.42,55.84,16.56,-27.94,-27.6
STLTECH,290.99,2026-04-22,7.13,19.86,54.32,211.85,149.24,237.11
KRITINUT,98.02,2026-04-22,-0.01,44.19,54.31,35.0,9.78,-5.74
SALSTEEL,56.55,2026-04-22,2.19,14.38,54.26,41.06,66.57,197.95
DEEDEV,411.7,2026-04-22,5.97,12.36,53.94,108.95,53.39,73.21
AEQUS,189.04,2026-04-22,-2.85,24.96,53.62,40.93,,
NGIL,37.08,2026-04-22,0.87,20.19,53.6,38.77,23.56,10.42
OMNI,373.48,2026-04-22,8.62,5.21,53.07,,,
MITCON,81.51,2026-04-22,8.91,20.29,53.01,43.63,6.97,8.77
GAUDIUMIVF,117.59,2026-04-22,22.57,22.2,52.63,,,
QPOWER,1272.7,2026-04-22,-0.36,28.13,52.5,90.97,27.42,242.84
LLOYDSENT,69.16,2026-04-22,4.98,19.22,52.33,24.82,-1.66,26.28
PRUDMOULI,18.2,2026-04-22,5.39,9.64,50.41,-9.9,-33.65,-59.03
RPSGVENT,905.1,2026-04-22,-4.92,-7.28,49.85,31.83,9.04,4.06
MTARTECH,5279.6,2026-04-22,6.83,20.06,49.76,115.0,146.76,269.59
MANINDS,555.65,2026-04-22,3.71,18.58,49.61,70.94,36.37,92.73
CONFIPET,54.18,2026-04-22,-2.55,-0.79,49.34,66.3,29.06,-6.14
BHAGCHEM,266.42,2026-04-22,12.77,24.12,47.66,28.5,5.81,-5.79
STERTOOLS,261.83,2026-04-22,4.93,14.97,47.47,10.22,-17.52,-20.57
VAISHALI,8.8,2026-04-22,13.55,35.59,47.16,2.56,-14.65,-31.78
SEPC,7.5,2026-04-22,1.63,5.78,45.35,-7.75,-34.04,-52.05
ARROWGREEN,548.85,2026-04-22,0.86,-3.5,45.03,23.6,-2.7,-18.39
ITDC,618.35,2026-04-22,1.69,-2.26,44.91,17.88,-0.25,4.13
