ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
VITAL,66.15,2026-04-15,5.0,33.1,68.32,19.4,10.62,-10.61
OLAELEC,38.59,2026-04-15,0.84,32.2,67.27,-0.1,-26.84,-23.23
KECL,131.67,2026-04-15,14.14,42.86,66.29,41.64,9.76,-2.35
WEBELSOLAR,87.58,2026-04-15,10.0,14.95,66.03,5.4,-31.43,-33.97
LUXIND,1420.15,2026-04-15,5.57,31.28,64.42,49.9,9.59,-0.92
ARROWGREEN,578.7,2026-04-15,1.75,5.61,63.45,21.0,5.15,-5.34
RPSGVENT,958.2,2026-04-15,-1.84,-14.17,60.42,35.98,17.35,14.41
HILTON,26.51,2026-04-15,10.0,26.96,58.93,-15.57,-43.87,-61.41
BANKA,76.18,2026-04-15,4.99,40.06,58.58,18.85,-9.64,3.84
BODALCHEM,67.56,2026-04-15,1.21,11.36,55.49,31.95,12.92,0.97
GUJALKALI,654.65,2026-04-15,2.35,11.76,52.0,35.81,18.3,8.75
BLUSPRING,69.43,2026-04-15,3.32,11.57,51.66,4.37,-12.37,
NINSYS,441.15,2026-04-15,9.49,12.94,51.18,14.85,-0.51,-4.74
UFBL,313.8,2026-04-15,7.41,39.98,49.14,57.96,43.05,
DEEPINDS,489.95,2026-04-15,6.1,9.93,47.78,28.11,1.42,0.44
WAAREEINDO,467.25,2026-04-15,5.0,16.26,47.49,-4.18,-30.9,-98.58
ITDC,643.5,2026-04-15,1.72,57.72,46.47,13.13,4.63,12.44
GALLANTT,790.15,2026-04-15,16.4,39.95,46.04,41.86,19.92,76.04
MTARTECH,4941.1,2026-04-15,12.36,36.33,45.84,87.33,123.99,260.4
IBULLSLTD,14.1,2026-04-15,3.3,30.43,44.91,12.44,,
PVP,34.85,2026-04-15,0.52,44.79,44.91,7.03,22.24,22.8
CONFIPET,52.61,2026-04-15,-3.66,-8.69,43.98,54.46,28.07,-1.27
ROSSTECH,978.0,2026-04-15,4.42,30.49,42.89,53.45,43.62,235.83
JKIPL,78.8,2026-04-15,19.99,38.12,42.6,-5.7,-28.96,
QPOWER,1107.65,2026-04-15,11.51,26.26,42.5,68.82,13.08,228.77
NPST,1260.2,2026-04-15,2.86,13.02,41.5,-4.98,-33.89,-45.13
NACLIND,172.61,2026-04-15,6.29,19.0,41.45,-6.44,-13.25,0.28
EIEL,213.64,2026-04-15,7.27,27.89,40.52,14.15,-12.67,0.66
PAISALO,43.51,2026-04-15,10.32,20.49,40.49,25.9,9.07,32.75
PRITI,50.98,2026-04-15,3.62,40.32,40.48,-9.06,-21.44,-44.47
INFOBEAN,172.9,2026-04-15,-2.76,20.27,39.98,-15.22,41.94,133.53
SUVEN,191.92,2026-04-15,0.8,14.35,39.47,24.23,-3.25,50.44
OLECTRA,1226.5,2026-04-15,1.1,18.83,39.3,10.04,-16.36,3.97
ANGELONE,297.76,2026-04-15,6.17,21.02,39.13,19.81,23.74,31.65
VINYLINDIA,266.28,2026-04-15,20.0,38.82,38.96,16.41,-5.2,-4.21
LOKESHMACH,276.27,2026-04-15,7.04,26.37,38.76,49.65,56.8,73.56
SEPC,7.38,2026-04-15,4.09,26.8,38.72,-17.54,-34.81,-51.06
NITCO,89.88,2026-04-15,0.82,1.23,38.38,0.76,-17.95,-19.51
