ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
INDOTECH,2451.2,2026-04-28,3.87,27.81,107.99,102.33,45.56,2.02
IRMENERGY,347.66,2026-04-28,4.91,63.12,97.47,43.16,11.0,18.57
BHAGYANGR,278.67,2026-04-28,11.8,29.74,94.52,58.65,120.19,287.2
IBULLSLTD,16.95,2026-04-28,-1.8,-0.24,81.48,45.12,,
INA,156.43,2026-04-28,6.02,9.5,75.47,,,
STLNETWORK,28.8,2026-04-28,-4.32,-4.57,72.97,40.42,9.42,
WEBELSOLAR,122.2,2026-04-28,4.99,37.99,72.67,49.13,0.89,-13.58
EMAMIREAL,94.47,2026-04-28,-9.55,40.94,72.58,35.77,6.16,-19.72
JTLIND,79.05,2026-04-28,-2.49,16.35,72.22,6.78,15.76,17.75
LUXIND,1510.1,2026-04-28,-8.88,1.35,72.19,69.27,18.11,8.04
WALCHANNAG,237.96,2026-04-28,8.4,25.35,71.06,34.45,42.06,23.35
JNKINDIA,374.51,2026-04-28,-1.34,11.23,70.91,79.55,25.63,1.73
AAREYDRUGS,95.19,2026-04-28,3.42,12.07,70.29,34.56,4.27,74.02
ADFFOODS,265.66,2026-04-28,-0.66,20.42,68.26,49.04,19.73,18.11
OSIAHYPER,6.87,2026-04-28,4.89,33.4,67.97,-52.19,-68.37,-71.61
SUVEN,218.6,2026-04-28,3.31,4.01,67.91,65.62,12.68,63.98
MANAKALUCO,38.3,2026-04-28,8.87,23.23,67.47,-19.72,30.58,45.18
VIDYAWIRES,87.49,2026-04-28,-0.01,18.79,67.19,87.83,,
LLOYDSENT,71.01,2026-04-28,2.45,7.79,66.69,21.14,6.98,35.68
COHANCE,493.3,2026-04-28,14.16,33.61,62.97,29.31,-42.62,
SBCL,612.8,2026-04-28,-4.18,17.59,62.85,49.84,25.5,37.69
OMNI,399.58,2026-04-28,-5.41,16.21,61.87,,,
APOLLO,305.9,2026-04-28,1.56,5.74,61.43,26.85,10.71,166.98
MANINDS,530.05,2026-04-28,-5.36,-1.06,60.84,64.79,29.95,94.66
SEPC,8.31,2026-04-28,8.34,12.6,60.74,0.12,-25.87,-43.28
GLOTTIS,62.7,2026-04-28,-1.38,11.72,60.44,23.82,-18.69,
STERTOOLS,261.77,2026-04-28,2.13,4.91,60.41,14.46,-16.29,-17.44
VERTOZ,51.18,2026-04-28,-0.49,-3.82,60.14,-17.37,-25.84,-48.82
QPOWER,1378.8,2026-04-28,-1.42,7.95,60.06,131.19,40.12,301.63
AEQUS,196.87,2026-04-28,-4.97,1.17,59.98,44.12,,
BLUECOAST,30.93,2026-04-28,-1.21,20.26,59.93,17.6,-37.17,1.94
NGIL,37.66,2026-04-28,-1.39,2.45,58.97,40.26,28.49,17.03
GALLANTT,852.7,2026-04-28,-2.27,-1.88,57.12,62.57,59.41,87.82
EIEL,216.78,2026-04-28,3.49,5.11,57.09,21.99,-9.66,5.39
SUTLEJTEX,40.36,2026-04-28,4.29,11.18,56.07,36.54,17.5,7.23
UFBL,337.33,2026-04-28,9.7,4.83,55.45,87.6,63.14,
BAJAJINDEF,324.46,2026-04-28,3.2,13.79,55.2,8.46,-15.36,37.36
SALSTEEL,58.71,2026-04-28,1.59,6.09,54.58,53.01,61.65,198.93
SIMPLEXINF,239.66,2026-04-28,3.8,10.64,54.45,14.65,-12.04,-17.54
OILCOUNTUB,59.07,2026-04-28,-2.7,-7.08,54.43,26.92,-15.78,-15.28
HCC,22.4,2026-04-28,8.16,16.42,54.27,10.84,-20.11,-16.45
UTLSOLAR,305.94,2026-04-28,0.97,16.78,54.19,52.34,,
ROLLT,1.75,2026-04-28,4.79,19.86,53.51,42.28,43.44,15.13
ZODIAC,346.72,2026-04-28,-1.87,17.09,53.36,30.3,-6.14,-9.28
KSHINTL,684.05,2026-04-28,0.54,21.45,53.22,94.8,,
STLTECH,285.13,2026-04-28,1.92,4.97,53.19,175.54,144.45,317.47
AUSOMENT,147.75,2026-04-28,6.7,21.12,53.08,23.24,44.9,78.34
ITDC,591.4,2026-04-28,-1.7,-2.75,52.72,15.13,-3.78,4.17
DYCL,383.41,2026-04-28,0.18,9.8,52.54,23.05,-7.18,40.78
ELECTHERM,863.6,2026-04-28,-0.37,14.1,52.28,5.21,-12.3,-25.97
KAKATCEM,135.31,2026-04-28,-0.51,-2.01,52.2,19.98,-5.45,-7.88
CONFIPET,58.71,2026-04-28,1.7,5.59,52.06,80.76,40.83,9.54
STALLION,160.45,2026-04-28,-0.13,3.44,51.8,-19.29,-44.58,131.43
UNIMECH,1110.3,2026-04-28,8.43,16.43,51.71,32.04,5.77,24.36
DHANBANK,31.82,2026-04-28,14.05,14.34,51.6,32.64,17.81,11.06
HFCL,107.24,2026-04-28,0.52,14.94,51.55,66.24,41.74,31.21
