ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
INDOTECH,2359.8,2026-04-27,23.04,64.93,100.24,102.8,40.45,-5.3
EMAMIREAL,104.45,2026-04-27,55.83,48.85,90.81,62.75,23.22,-13.64
LUXIND,1657.2,2026-04-27,11.22,23.19,88.96,87.83,28.87,19.91
IRMENERGY,331.39,2026-04-27,55.49,63.95,88.23,42.44,4.65,17.03
IBULLSLTD,17.26,2026-04-27,1.59,26.45,84.8,54.94,,
STLNETWORK,30.1,2026-04-27,-0.27,37.95,80.78,65.02,12.9,
JTLIND,81.07,2026-04-27,19.33,26.06,76.62,8.02,20.86,17.68
BHAGYANGR,249.26,2026-04-27,16.05,34.67,73.99,49.0,107.15,239.5
JNKINDIA,379.61,2026-04-27,12.75,31.54,73.24,85.82,28.7,2.49
OMNI,422.44,2026-04-27,22.86,19.0,71.13,,,
GAUDIUMIVF,128.17,2026-04-27,33.59,33.19,69.96,,,
MANINDS,560.05,2026-04-27,4.54,19.52,69.94,79.22,39.0,105.0
SBCL,639.5,2026-04-27,22.71,31.6,69.94,57.92,34.27,41.04
ADFFOODS,267.42,2026-04-27,21.21,41.31,69.37,54.27,23.51,20.94
AEQUS,207.17,2026-04-27,6.46,36.94,68.35,53.95,,
VIDYAWIRES,87.5,2026-04-27,18.81,31.88,67.21,93.33,,
INA,147.55,2026-04-27,3.28,12.29,65.51,,,
AAREYDRUGS,92.04,2026-04-27,8.36,28.8,64.65,35.53,2.84,64.74
WEBELSOLAR,116.39,2026-04-27,31.43,46.18,64.46,49.52,-5.13,-21.8
LLOYDSENT,69.31,2026-04-27,5.21,19.48,62.7,27.78,3.63,31.01
GLOTTIS,63.58,2026-04-27,13.29,6.16,62.69,22.2,-20.12,
SUVEN,211.6,2026-04-27,0.68,11.13,62.53,66.96,7.92,55.6
QPOWER,1398.7,2026-04-27,9.51,40.81,62.37,135.04,40.79,310.11
BLUECOAST,31.31,2026-04-27,21.73,27.17,61.89,17.49,-34.88,1.13
NGIL,38.19,2026-04-27,3.89,23.79,61.21,39.58,27.94,18.86
VERTOZ,51.43,2026-04-27,-3.35,15.03,60.92,-15.85,-25.3,-49.33
GALLANTT,872.55,2026-04-27,0.4,28.53,60.78,66.47,68.9,95.33
OSIAHYPER,6.55,2026-04-27,27.18,54.12,60.15,-54.07,-69.21,-72.86
SIGMAADV,248.49,2026-04-27,20.68,43.73,60.03,,,
APOLLO,301.19,2026-04-27,4.11,29.56,58.95,31.12,5.59,169.77
OILCOUNTUB,60.71,2026-04-27,-4.5,31.09,58.72,33.25,-13.38,-13.4
WALCHANNAG,219.53,2026-04-27,15.65,23.55,57.81,32.88,29.86,10.82
STERTOOLS,256.32,2026-04-27,2.73,12.55,57.07,14.79,-18.64,-20.17
ZODIAC,353.32,2026-04-27,19.32,23.65,56.28,42.41,-4.89,-9.59
ITDC,601.6,2026-04-27,-1.07,-4.91,55.35,20.99,-1.59,6.07
MANAKALUCO,35.18,2026-04-27,13.19,27.79,53.83,-29.95,22.58,32.9
VENUSPIPES,1431.4,2026-04-27,9.15,16.15,53.04,43.67,10.15,19.73
KAKATCEM,136.0,2026-04-27,-1.51,28.37,52.98,24.12,-5.82,-8.2
ELECTHERM,866.8,2026-04-27,14.53,23.42,52.85,10.17,-11.22,-24.21
UTLSOLAR,303.01,2026-04-27,15.66,34.15,52.71,51.94,,
KSHINTL,680.4,2026-04-27,20.8,30.13,52.4,94.85,,
DYCL,382.72,2026-04-27,9.61,26.9,52.27,30.76,-14.91,38.43
OLAELEC,36.93,2026-04-27,-5.84,-3.5,52.16,17.09,-28.54,-25.93
DEEDEV,424.0,2026-04-27,9.14,15.72,52.16,129.46,63.3,84.65
SALSTEEL,57.79,2026-04-27,4.43,16.89,52.16,47.16,55.89,195.3
STALLION,160.66,2026-04-27,3.57,14.1,52.0,-15.15,-47.27,139.43
EIEL,209.46,2026-04-27,1.56,5.17,51.78,25.64,-13.56,0.65
LLOYDSENGG,58.95,2026-04-27,6.16,20.87,51.0,39.2,0.37,-17.3
HFCL,106.69,2026-04-27,14.35,24.06,50.78,75.05,38.83,31.66
AZAD,2237.1,2026-04-27,18.16,28.48,50.72,54.97,32.76,48.67
BBL,3216.4,2026-04-27,13.77,26.15,50.66,30.53,6.51,10.18
NAGREEKEXP,28.25,2026-04-27,4.78,20.57,50.51,16.3,-4.72,6.97
BAJAJINDEF,314.39,2026-04-27,10.25,14.69,50.38,5.8,-19.11,37.74
